wee_center_id,sigungu,wee_center_name,phone,address,source_file,base_year,extraction_check,address_raw,address_clean,wee_center_latitude,wee_center_longitude,wee_center_geocoding_status,wee_center_geocoding_address,wee_center_geocoding_message
WEE_GN_001,창원,창원교육지원청 Wee센터,055-210-0461~5,경남 창원시 의창구 중앙대로228번길 3 후관 1층,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 창원시 의창구 중앙대로228번길 3 후관 1층,경남 창원시 성산구 중앙대로228번길 3 후관 1층,35.2328977547522,128.688720874681,success_manual_fix,경남 창원시 성산구 중앙대로228번길 3,수정된 주소로 재시도 성공
WEE_GN_002,마산분원,창원Wee센터 마산분원,055-250-7611~5,경남 창원시 마산회원구 봉덕2길 3 마산교육지원센터 2층,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 창원시 마산회원구 봉덕2길 3 마산교육지원센터 2층,경남 창원시 마산회원구 봉덕2길 3 마산교육지원센터 2층,35.2220772656215,128.595278981771,success,경남 창원시 마산회원구 봉덕2길 3,
WEE_GN_003,진주,진주교육지원청 Wee센터,055-740-2091~8,경남 진주시 비봉로23번길 8 진주교육지원청 4층,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 진주시 비봉로23번길 8 진주교육지원청 4층,경남 진주시 비봉로23번길 8 진주교육지원청 4층,35.1929271504568,128.080487058347,success,경남 진주시 비봉로23번길 8,
WEE_GN_004,통영,통영교육지원청 Wee센터,055-650-8025~7,경남 통영시 광도면 죽림2로 25-32 통영교육지원청,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 통영시 광도면 죽림2로 25-32 통영교육지원청,경남 통영시 광도면 죽림2로 25-32 통영교육지원청,34.8819090597094,128.416707413054,success,경남 통영시 광도면 죽림2로 25-32,
WEE_GN_005,사천,사천교육지원청 Wee센터,055-830-1544~9,경남 사천시 삼상로85 사천교육지원청 3층,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 사천시 삼상로85 사천교육지원청 3층,경남 사천시 삼상로85 사천교육지원청 3층,34.9376517259208,128.084840072545,success,경남 사천시 삼상로 85,
WEE_GN_006,김해,김해교육지원청 Wee센터,055-360-9750~5,경남 김해시 김해대로 1902번길 50 김해교육지원청,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 김해시 김해대로 1902번길 50 김해교육지원청,경남 김해시 김해대로 1902번길 50 김해교육지원청,35.2534160860827,128.865614321692,success,경남 김해시 김해대로1902번길 50,
WEE_GN_007,밀양,밀양교육지원청 Wee센터,055-350-1490~7,경남 밀양시 상남면 밀양대로1524-1번지 밀양영재교육원 1층,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 밀양시 상남면 밀양대로1524-1번지 밀양영재교육원 1층,경남 밀양시 상남면 밀양대로1524-1번지 밀양영재교육원 1층,35.4671364773294,128.761046018281,success,경남 밀양시 상남면 밀양대로 1524-1,
WEE_GN_008,거제,거제교육지원청 Wee센터,055-636-9670~5,경남 거제시 거제중앙로 9길 13-4 거제교육지원청,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 거제시 거제중앙로 9길 13-4 거제교육지원청,경남 거제시 거제중앙로 9길 13-4 거제교육지원청,34.8800769168975,128.625795564363,success,경남 거제시 거제중앙로9길 13,
WEE_GN_009,양산,양산교육지원청 Wee센터,055-379-3261~9,경남 양산시 물금읍 청룡로53 양산교육지원청 2층,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 양산시 물금읍 청룡로53 양산교육지원청 2층,경남 양산시 물금읍 청룡로53 양산교육지원청 2층,35.3279340076819,128.994327682574,success,경남 양산시 물금읍 청룡로 53,
WEE_GN_010,의령,의령교육지원청 Wee센터,055-570-7136~9,경남 의령군 의령읍 충익로 62 의령교육지원청,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 의령군 의령읍 충익로 62 의령교육지원청,경남 의령군 의령읍 의병로 148,35.3192593551179,128.252532105876,success_manual_fix,경남 의령군 의령읍 의병로 148,수정된 주소로 재시도 성공
WEE_GN_011,함안,함안교육지원청 Wee센터,055-580-8015~8,경남 함안군 가야읍 함안대로 497 함안교육지원청 3층,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 함안군 가야읍 함안대로 497 함안교육지원청 3층,경남 함안군 가야읍 함안대로 497 함안교육지원청 3층,35.2714808282778,128.408164528413,success,경남 함안군 가야읍 함안대로 497,
WEE_GN_012,창녕,창녕교육지원청 Wee센터,055-530-3505~9,경남 창녕군 창녕읍 창녕대로 135 창녕교육지원청 3층,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 창녕군 창녕읍 창녕대로 135 창녕교육지원청 3층,경남 창녕군 창녕읍 창녕대로 135 창녕교육지원청 3층,35.5343586564505,128.499841843585,success,경남 창녕군 창녕읍 창녕대로 135,
WEE_GN_013,고성,고성교육지원청 Wee센터,055-673-3801~2,경남 고성군 고성읍 성내로 79번길 10 고성교육지원청,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 고성군 고성읍 성내로 79번길 10 고성교육지원청,경남 고성군 고성읍 성내로 79번길 10 고성교육지원청,34.976660706475,128.318063387937,success,경남 고성군 고성읍 성내로79번길 10,
WEE_GN_014,남해,남해교육지원청 Wee센터,055-860-4144~6,경남 남해군 남해읍 화전로 95번길 14 남해교육지원청,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 남해군 남해읍 화전로 95번길 14 남해교육지원청,경남 남해군 남해읍 화전로 95번길 14 남해교육지원청,34.8400530722524,127.892020810831,success,경남 남해군 남해읍 화전로95번길 14,
WEE_GN_015,하동,하동교육지원청 Wee센터,055-880-1945~6,경남 하동군 하동읍 군청로 191 하동교육지원청 1층,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 하동군 하동읍 군청로 191 하동교육지원청 1층,경남 하동군 하동읍 군청로 191 하동교육지원청 1층,35.0602928317164,127.767349527277,success,경남 하동군 하동읍 군청로 191,
WEE_GN_016,산청,산청교육지원청 Wee센터,055-970-3037~40,경남 산청군 산청읍 친환경로 2720번길10 산청교육지원청,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 산청군 산청읍 친환경로 2720번길10 산청교육지원청,경남 산청군 산청읍 친환경로 2720번길10 산청교육지원청,35.419238283556,127.879843941356,success,경남 산청군 산청읍 친환경로2720번길 10,
WEE_GN_017,함양,함양교육지원청 Wee센터,055-960-2723~7,경남 함양군 함양읍 함양로 1157 함양교육지원청 3층,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 함양군 함양읍 함양로 1157 함양교육지원청 3층,경남 함양군 함양읍 함양로 1157 함양교육지원청 3층,35.5223349738283,127.727582829475,success,경남 함양군 함양읍 함양로 1157,
WEE_GN_018,거창,거창교육지원청 Wee센터,055-940-6191~7,경남 거창군 거창읍 거함대로 3235 거창교육지원청 3층,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 거창군 거창읍 거함대로 3235 거창교육지원청 3층,경남 거창군 거창읍 거함대로 3235 거창교육지원청 3층,35.6817493696304,127.915453827542,success,경남 거창군 거창읍 거함대로 3235,
WEE_GN_019,합천,합천교육지원청 Wee센터,055-930-7061~4,경남 합천군 합천읍 동서로150 합천교육지원청 3층,2025. 경남교육청 교육지원청 Wee센터 현황.pdf,2025,needs_review,경남 합천군 합천읍 동서로150 합천교육지원청 3층,경남 합천군 합천읍 동서로150 합천교육지원청 3층,35.5646834791942,128.169502172666,success,경남 합천군 합천읍 동서로 150,
