school_code,school_name,sido,sigungu,CSI,CDI,priority_score,priority_level,policy_strategy_group,supply_demand_matrix_3x3,kmeans_cluster_label,recommended_policy_1,recommended_policy_1_score,recommended_policy_2,recommended_policy_2_score,recommended_policy_3,recommended_policy_3_score,recommended_policy_reason
480041555,서상고등학교,경남,함양군,0.03333333333333333,0.4333333333333333,0.4,최우선 지원,최우선 개입형,잠재 취약형,수요 대비 공급 취약 군집,전문상담교사 배치 또는 순회상담 연계,0.825,Wee클래스 신설 또는 운영 보완,0.8,학교폭력 피해 관련 상담지원 강화,0.8,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041160,곤양고등학교,경남,사천시,0.03333333333333333,0.4289345541140421,0.3956012207807088,최우선 지원,최우선 개입형,잠재 취약형,수요 대비 공급 취약 군집,전문상담교사 배치 또는 순회상담 연계,0.824,Wee클래스 신설 또는 운영 보완,0.806,학교폭력 피해 관련 상담지원 강화,0.778,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041240,덕산고등학교,경남,산청군,0.03333333333333333,0.2159246032162635,0.1825912698829302,최우선 지원,최우선 개입형,최소 인프라 보완형,기초 인프라 보완 군집,Wee클래스 신설 또는 운영 보완,0.834,전문상담교사 배치 또는 순회상담 연계,0.78,Wee센터 연계 강화,0.774,해당 학교는 현재 지표 체계상 'Wee클래스 신설 또는 운영 보완'의 적합도가 가장 높게 산출되었다. Wee클래스 운영 점수(0.000)가 낮아 상담공간 및 기본 상담체계 보완이 필요한 것으로 나타났다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041680,마산제일고등학교,경남,창원시,0.2333333333333333,0.377976527092908,0.1446431937595747,최우선 지원,최우선 개입형,잠재 취약형,기초 인프라 보완 군집,전문상담교사 배치 또는 순회상담 연계,0.948,Wee클래스 신설 또는 운영 보완,0.759,고수요 상담 프로그램 확대,0.561,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041370,옥종고등학교,경남,하동군,0.03333333333333333,0.1761105346280026,0.1427772012946693,최우선 지원,최우선 개입형,최소 인프라 보완형,기초 인프라 보완 군집,Wee클래스 신설 또는 운영 보완,0.804,전문상담교사 배치 또는 순회상담 연계,0.772,Wee센터 연계 강화,0.744,해당 학교는 현재 지표 체계상 'Wee클래스 신설 또는 운영 보완'의 적합도가 가장 높게 산출되었다. Wee클래스 운영 점수(0.000)가 낮아 상담공간 및 기본 상담체계 보완이 필요한 것으로 나타났다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041912,칠원고등학교,경남,함안군,0.1333333333333333,0.2726486020292655,0.1393152686959322,최우선 지원,최우선 개입형,잠재 취약형,기초 인프라 보완 군집,전문상담교사 배치 또는 순회상담 연계,0.847,Wee클래스 신설 또는 운영 보완,0.801,Wee센터 연계 강화,0.561,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041938,서창고등학교,경남,양산시,0.3666666666666667,0.4545209684150018,0.08785430174833508,최우선 지원,최우선 개입형,잠재 취약형,고수요 유지관리 군집,전문상담교사 배치 또는 순회상담 연계,0.936,Wee센터 연계 강화,0.745,고수요 상담 프로그램 확대,0.661,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041933,진해용원고등학교,경남,창원시,0.3666666666666667,0.4450506400201051,0.07838397335343839,최우선 지원,최우선 개입형,잠재 취약형,고수요 유지관리 군집,전문상담교사 배치 또는 순회상담 연계,0.934,Wee센터 연계 강화,0.741,고수요 상담 프로그램 확대,0.655,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041788,효암고등학교,경남,양산시,0.3666666666666667,0.4350260988817081,0.06835943221504143,최우선 지원,최우선 개입형,잠재 취약형,고수요 유지관리 군집,전문상담교사 배치 또는 순회상담 연계,0.932,Wee센터 연계 강화,0.727,고수요 상담 프로그램 확대,0.628,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041638,진주외국어고등학교,경남,진주시,0.3666666666666667,0.4275264894494527,0.06085982278278601,최우선 지원,최우선 개입형,잠재 취약형,고수요 유지관리 군집,Wee센터 연계 강화,0.842,전문상담교사 배치 또는 순회상담 연계,0.756,고수요 상담 프로그램 확대,0.579,해당 학교는 현재 지표 체계상 'Wee센터 연계 강화'의 적합도가 가장 높게 산출되었다. Wee센터 접근성 점수(0.100)가 낮아 이동형·온라인 상담 또는 권역별 연계 강화 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041660,남해해성고등학교,경남,남해군,0.2333333333333333,0.2846097935876414,0.05127646025430807,최우선 지원,최우선 개입형,잠재 취약형,기초 인프라 보완 군집,전문상담교사 배치 또는 순회상담 연계,0.829,Wee클래스 신설 또는 운영 보완,0.789,고수요 상담 프로그램 확대,0.474,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041330,신등고등학교,경남,산청군,0.1333333333333333,0.1668897794510948,0.03355644611776148,최우선 지원,최우선 개입형,최소 인프라 보완형,기초 인프라 보완 군집,Wee클래스 신설 또는 운영 보완,0.78,전문상담교사 배치 또는 순회상담 연계,0.75,Wee센터 연계 강화,0.54,해당 학교는 현재 지표 체계상 'Wee클래스 신설 또는 운영 보완'의 적합도가 가장 높게 산출되었다. Wee클래스 운영 점수(0.000)가 낮아 상담공간 및 기본 상담체계 보완이 필요한 것으로 나타났다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041872,마산삼진고등학교,경남,창원시,0.5,0.5229316775349516,0.02293167753495162,최우선 지원,최우선 개입형,고수요 보완형,고수요 유지관리 군집,Wee센터 연계 강화,0.782,고수요 상담 프로그램 확대,0.746,전문상담교사 배치 또는 순회상담 연계,0.723,해당 학교는 현재 지표 체계상 'Wee센터 연계 강화'의 적합도가 가장 높게 산출되었다. Wee센터 접근성 점수(0.100)가 낮아 이동형·온라인 상담 또는 권역별 연계 강화 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041606,거제고등학교,경남,거제시,0.5666666666666667,0.5751846165809645,0.008517949914297884,최우선 지원,최우선 개입형,고수요 보완형,고수요 유지관리 군집,전문상담교사 배치 또는 순회상담 연계,0.92,고수요 상담 프로그램 확대,0.78,현 수준 유지 및 정기 모니터링,0.556,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041348,김해율하고등학교,경남,김해시,0.4666666666666666,0.455198823715757,-0.01146784295090963,최우선 지원,최우선 개입형,잠재 취약형,고수요 유지관리 군집,전문상담교사 배치 또는 순회상담 연계,0.916,고수요 상담 프로그램 확대,0.647,Wee센터 연계 강화,0.55,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041420,진서고등학교,경남,진주시,0.1333333333333333,0.1036038053220882,-0.02972952801124511,우선 지원,우선 보완형,최소 인프라 보완형,기초 인프라 보완 군집,전문상담교사 배치 또는 순회상담 연계,0.737,Wee클래스 신설 또는 운영 보완,0.732,Wee센터 연계 강화,0.492,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041714,사천고등학교,경남,사천시,0.4666666666666666,0.4215561617630355,-0.04511050490363111,우선 지원,우선 보완형,잠재 취약형,고수요 유지관리 군집,전문상담교사 배치 또는 순회상담 연계,0.909,고수요 상담 프로그램 확대,0.605,현 수준 유지 및 정기 모니터링,0.529,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041183,김해대청고등학교,경남,김해시,0.5666666666666667,0.5184527741126427,-0.04821389255402397,우선 지원,우선 보완형,고수요 보완형,고수요 유지관리 군집,전문상담교사 배치 또는 순회상담 연계,0.908,고수요 상담 프로그램 확대,0.703,현 수준 유지 및 정기 모니터링,0.571,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041417,장유고등학교,경남,김해시,0.5666666666666667,0.4936850309061514,-0.07298163576051525,우선 지원,우선 보완형,고수요 보완형,고수요 유지관리 군집,전문상담교사 배치 또는 순회상담 연계,0.903,고수요 상담 프로그램 확대,0.669,현 수준 유지 및 정기 모니터링,0.576,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041702,밀성고등학교,경남,밀양시,0.3333333333333333,0.2309249201268014,-0.1024084132065319,우선 지원,우선 보완형,최소 인프라 보완형,기초 인프라 보완 군집,전문상담교사 배치 또는 순회상담 연계,0.797,Wee클래스 신설 또는 운영 보완,0.722,현 수준 유지 및 정기 모니터링,0.476,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041415,웅상고등학교,경남,양산시,0.6,0.4906710176239188,-0.1093289823760812,우선 지원,우선 보완형,고수요 보완형,고수요 유지관리 군집,전문상담교사 배치 또는 순회상담 연계,0.696,고수요 상담 프로그램 확대,0.658,현 수준 유지 및 정기 모니터링,0.601,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.400)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041515,창원성민여자고등학교,경남,창원시,0.3333333333333333,0.2160852002125372,-0.1172481331207961,우선 지원,우선 보완형,최소 인프라 보완형,기초 인프라 보완 군집,전문상담교사 배치 또는 순회상담 연계,0.794,Wee클래스 신설 또는 운영 보완,0.717,현 수준 유지 및 정기 모니터링,0.486,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041175,김해가야고등학교,경남,김해시,0.6666666666666666,0.5472863698226381,-0.1193802968440285,우선 지원,우선 보완형,고수요 보완형,고수요 유지관리 군집,전문상담교사 배치 또는 순회상담 연계,0.894,고수요 상담 프로그램 확대,0.712,현 수준 유지 및 정기 모니터링,0.631,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041460,진해고등학교,경남,창원시,0.5666666666666667,0.4444742948353257,-0.122192371831341,우선 지원,우선 보완형,평균 관리형,고수요 유지관리 군집,전문상담교사 배치 또는 순회상담 연계,0.893,고수요 상담 프로그램 확대,0.605,현 수준 유지 및 정기 모니터링,0.59,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041937,창녕옥야고등학교,경남,창녕군,0.4666666666666666,0.3384229899504209,-0.1282436767162457,우선 지원,우선 보완형,잠재 취약형,고수요 유지관리 군집,전문상담교사 배치 또는 순회상담 연계,0.792,현 수준 유지 및 정기 모니터링,0.526,Wee센터 연계 강화,0.52,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041520,통영여자고등학교,경남,통영시,0.6666666666666666,0.5379996113598644,-0.1286670553068022,우선 지원,우선 보완형,고수요 보완형,고수요 유지관리 군집,전문상담교사 배치 또는 순회상담 연계,0.892,고수요 상담 프로그램 확대,0.72,현 수준 유지 및 정기 모니터링,0.644,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041612,거창고등학교,경남,거창군,0.3333333333333333,0.2003670618319507,-0.1329662715013826,우선 지원,우선 보완형,최소 인프라 보완형,기초 인프라 보완 군집,전문상담교사 배치 또는 순회상담 연계,0.791,Wee클래스 신설 또는 운영 보완,0.713,현 수준 유지 및 정기 모니터링,0.498,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041430,진양고등학교,경남,진주시,0.5666666666666667,0.4299922725792529,-0.1366743940874138,우선 지원,우선 보완형,평균 관리형,고수요 유지관리 군집,전문상담교사 배치 또는 순회상담 연계,0.89,현 수준 유지 및 정기 모니터링,0.6,고수요 상담 프로그램 확대,0.597,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041708,보광고등학교,경남,양산시,0.6,0.462749110224935,-0.137250889775065,우선 지원,우선 보완형,고수요 보완형,고수요 유지관리 군집,Wee센터 연계 강화,0.771,현 수준 유지 및 정기 모니터링,0.593,고수요 상담 프로그램 확대,0.59,해당 학교는 현재 지표 체계상 'Wee센터 연계 강화'의 적합도가 가장 높게 산출되었다. Wee센터 접근성 점수(0.100)가 낮아 이동형·온라인 상담 또는 권역별 연계 강화 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041684,마산제일여자고등학교,경남,창원시,0.5666666666666667,0.4267804431816355,-0.1398862234850312,모니터링,인력 취약형,평균 관리형,고수요 유지관리 군집,전문상담교사 배치 또는 순회상담 연계,0.889,현 수준 유지 및 정기 모니터링,0.602,고수요 상담 프로그램 확대,0.596,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041958,김해수남고등학교,경남,김해시,0.6,0.4566827658117095,-0.1433172341882905,모니터링,접근성 보완형,평균 관리형,고수요 유지관리 군집,전문상담교사 배치 또는 순회상담 연계,0.689,고수요 상담 프로그램 확대,0.63,현 수준 유지 및 정기 모니터링,0.619,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.400)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041798,용남고등학교,경남,사천시,0.4666666666666666,0.3200081800543061,-0.1466584866123605,모니터링,인력 취약형,잠재 취약형,고수요 유지관리 군집,전문상담교사 배치 또는 순회상담 연계,0.788,현 수준 유지 및 정기 모니터링,0.558,Wee센터 연계 강화,0.533,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041300,삼가고등학교,경남,합천군,0.3666666666666667,0.2179896347847718,-0.1486770318818949,모니터링,접근성 보완형,최소 인프라 보완형,기초 인프라 보완 군집,Wee클래스 신설 또는 운영 보완,0.745,Wee센터 연계 강화,0.685,현 수준 유지 및 정기 모니터링,0.482,해당 학교는 현재 지표 체계상 'Wee클래스 신설 또는 운영 보완'의 적합도가 가장 높게 산출되었다. Wee클래스 운영 점수(0.000)가 낮아 상담공간 및 기본 상담체계 보완이 필요한 것으로 나타났다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041930,거제제일고등학교,경남,거제시,0.6666666666666666,0.516495452569235,-0.1501712140974316,모니터링,우선 보완형,고수요 보완형,고수요 유지관리 군집,전문상담교사 배치 또는 순회상담 연계,0.887,고수요 상담 프로그램 확대,0.696,현 수준 유지 및 정기 모니터링,0.652,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
480041891,창원대산고등학교,경남,창원시,0.4666666666666666,0.3124777722384836,-0.154188894428183,모니터링,인력 취약형,잠재 취약형,고수요 유지관리 군집,전문상담교사 배치 또는 순회상담 연계,0.787,현 수준 유지 및 정기 모니터링,0.545,Wee센터 연계 강화,0.512,해당 학교는 현재 지표 체계상 '전문상담교사 배치 또는 순회상담 연계'의 적합도가 가장 높게 산출되었다. 상담인력 공급 점수(0.000)가 낮고 상담수요 규모가 상대적으로 높아 전문상담인력 확충 검토가 필요하다. 이는 실제 지원 확정이 아니라 정책 검토 우선순위 판단을 위한 추천 결과이다.
